Title,Company,Location,Experience,Post_Date,Today,Summary,Salary,Url,Portal
Data Analyst,Stanplus Technologies Pvt Ltd,"Kondapur, Hyderabad, Telangana",,PostedToday,08/09/2022,"Maintain the health of data sources, and data collection systems through stringent data quality check and process improvements.
 Total work: 2 years (Preferred).","₹10,00,000 - ₹18,00,000 a year",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYl7C7BY_mFxDlMO9bl4JJQYiSFN55KuBWrxrGAKIJZb-nkWIvr-T5MY1nGPzWHzWt5eGtfPL-v7oN0XSxcHxJRQbwOZznukcA1qU5OlcRVaOAnuP2UPlOpRQ8GbUY_Nc935A4MXiW1zSffH3yvTv_G3GO8B-MONJpdTJkkEBLk7G1S8gb1YtxiopMC_88yXsorEjk2aQCWjhUfh8_ArHzV65LRH3OgBzC7_HAKLltlt-W2g8OdzeWI_nl8LO45F43wYww3X_fG-ocm9SbGb6_QlD7R5_AlrMf2AAemnkr0_S2ZE1N0oubEd5B-gdsCCSDPbgae-QekHih7YFZz-csoh6a17t18Kwk3hLyUwFDLcDa2Gayo5dRqkJiQpMtki-Dx5WYLng-yYGRA__FPjN8ep5NSMAIBmYf0JnEn77LrRgRTfDiwfPQGHDaBEyGRyC3iFgMpK3XCR5Udx1yc32EI-nmUGZUS91fLU-mtUhlPdbo7G5o4GzN&xkcb=SoAp-_M3aAkjN1QsaB0LbzkdCdPP&p=0&fvj=1&vjs=3,Indeed
Reporting Analyst,24-7 Intouch,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,"Ensure employee data is current and accurate for assigned program.
 Ability to enter data with a high level of accuracy.
 Generate weekly and daily KPI reports.",Full-time,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B836oKFAZ7j9ND8EEkvmiJmRVtmPEliLu-vyt73ME1rK6gLjW9yIm-LXeveveGUz9AitncK88tg3rR2pXQmbFh7Q3BJKdh-zjBsTwqe2oCQF0xTU1cpV2YVEWljWUFSnd9ztNvDxz2tp27-boB0YjqHpfXRmIbVwzYAY3EaHE9iM9Lspfou6xaZRU4YuMU9UjFHXHzcrP7qhXqTnixIYG7tmghVtSMoGN9-PdlxUxVP9tVvRva-zSuQJoIbMySW0VnkiTFhJWaF83E_4SJKoV5r0EqjUy9Gp5ba8wEeYce04fxqMCENDtW3c-CxV8wn-OW6762PYemaRk_M6xDg3Mcla_MVcNJqf7MWui1lSB1eza1FkeY6DgxOgIodRWkpHG9TF_pllGAfYyCWrrRaiV5xIpe3gVaK4x10l3OY53dX1eiB5I8vIJlgoAHlnspMdY=&xkcb=SoCd-_M3aAkjN1QsaB0KbzkdCdPP&p=1&fvj=0&vjs=3,Indeed
Member Firms-Swiss Financial Reporting and Analysis-Associate Analyst,Deloitte,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,"Associate Analyst for Swiss Financial Reporting & Analysis - Deloitte Support Services India Private Limited.
 Our team support Swiss Controlling team in various…",,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVEMH6N8XB8ugTc3UeC9e-vKt3mB-MpOsLUxMQznI8yDPiSfRbJH8E7qBBqyW3Jakvv7Bpbmfw710g5RvnDLC--BvVWawUawN03g18eRglpob8ekhcah6gWSctlDSzJ4v3CvpZ_8Wadqvg6uXpfXfpQxi8BGBvDt7sSfh2ZPxBMOARiqKvur7Y8RLkNBBbvgv8z66WaKuqZ-7ZJMuokE7L4rBoCuZ6pi9ptIVlmWlNnFuLuwxTGJXeisYFaXzV3Vm5o3KEqgSm9bvUqpOiTjV3Ez9b2vOnOW0uQxmn27f_iFrY_dbkqt4_JIMK517bBfR_rLca4nIUhY__en76FtJ_f-ZpsKfZHb1E6kukDy0zGrnbvvrAlrAjjSxOOuf2nlNKBN3o0sjsoj2OTMrlrAtjTV0q7RlcweKkTxRyp5e7h7Oe2-IgbIDFi8LjZJqDMpJ_ufV62MChIXiYfp77CS4e0Qs3jUG4HQRBFnMJlZOZgDFra-8zM-c-DNEwkEPhfAj8ekLwJJS0K3pkmqqUHR-0L1ZPkIj4rItU9YpHT0B_bc7OouR4aieR2ilKZWeENH5AUSSmqxR4lZuuuBAr_UYOsnZYKbK3sXBu5P2b_x7aZ-B&xkcb=SoAA-_M3aAkjN1QsaB0JbzkdCdPP&p=2&fvj=0&vjs=3,Indeed
Talent Data and Analytics Coordinator -Analyst,Deloitte,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,"Work with external organizational design vendors, like OrgVue, to submit data and conduct data analysis to help achieve business objectives.",,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVNkZLBY5brOMPl_aYGto6wwoTTp5-8HpkiA263AP2dp3dOXN-LAi6e_kLTz-ooijboad7wD5QeGmwPigGecrd9fYb9hU9bChNHQCi8JTt-3a20SfpCXlZ3U9iJV9UZ4WztsZBCq8mSEliZ3w3Lhf9Euw9qU9CCZEr-U0uh0iYtCBK2ENOYx6qPYvKk9Gp3ZXGpoKSVp1Oq8QykK5P0xPZoAWSs4jJP7Ka7Q2dRFaTKfEBR0OEKcCacrLREky0Wm0MmV3kvscd8bhBw4zE68xLl49nBVGGZt0AUW6FxaXgwKmL69DRUCSwOY_Qf5nAv_P8XjP2o4KBKuJb1_xHhkmowWKHSOznjdaKpkSQWemxUITNyNUVli43b1dokwqSLmVxHNSvqCvduvFSOfMwIK9_GE7lwMqn1M0zr3xBEx78WFd7EziHzlGXuvwTfFSY5BGQkbTLBnnDJ_g-5wJv9H5lbBLyLQMe1z77SmZHnoGawCEJqEJEwCe4HPRnvKdje8xFU5CHJTjBP5kLVTFlqVsXI7v1gBSUIUaQsPK6K876Duj&xkcb=SoC0-_M3aAkjN1QsaB0IbzkdCdPP&p=3&fvj=0&vjs=3,Indeed
Associate Analyst-MF-Client Data Management,Deloitte,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,"Advanced MS Excel skills- Proficiency in data validation, logical functions & ability to analyze data.
 Fulfil the day-to-day operations (data maintenance) and…",,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVEMH6N8XB8ugTc3UeC9e-vLrlMt5bX18p7zqOzOWpotUeF2DN9XOXtaUpQaKPUyj_P8rZ1jEHFkwxbMOYBI1mCo0SYuYVF4DJ3nruKs-ibDyrfvRQf9wKrPhYeUY23vXEpZqYw34_xqESj2sgpLzkHDY5r0-3UTdwGP_kSphL3jCiT4F7929YBEFjinmubo6V-DVjkUF9JejMN5F28oPwmu5DRdrROW_4fZhklOtU5lrBzFATlfBnFbAGCt8qAWqP3OTdnXKIE8qlovkGf92f_8-Ki4OROdNGEUIOtxtmHqR13mV_4erbz9DBTyRY8mLYeZPWgRU2qk_eJsEXeYYgtD0dkSO5WUrNdSJcSKhlIzk43h3t3FgnY0z8Oga2OFPzJf7GKPbte5KlaHaPJqAft_owO5oXeZ28Aa5079A9GBuQaB3tAVEDsawG8Ufd1qIInDPa5IPa1rhiwFZ96ke-_w23tKATeN_7e1j0o2Zq31zfJbWkTzzBjoXeL4acj1U1jlFmeiZt3dJiRWlL5VMnkUx0dz99Wq7b6VG28KR8AyW6y2EyejB9LgElMyvvbdFPRmYgT6DW7Mg9AQqm-5bS4Y=&xkcb=SoBs-_M3aAkjN1wsaB0LbzkdCdPP&p=4&fvj=0&vjs=3,Indeed
International Product Analyst - India,Indeed,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,"Leverage proprietary software to analyze performance data and run and analyze A/B tests.
 Validate and synthesize country requirements to be prioritized with the…","₹14,80,000 - ₹22,20,000 a year",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnosTcElHSHH8OMq4GpF-9BcH7GQsBoYJ9REifP7hGLYvLqwor9DMfQQYjymUHiMWz3jytMf18xvrfxVXRhSc23OXc-_B1EV1IFwp_A7JLWDMadXSR-sadTVXKmCScR5Lzhhg4emYbEizDPwDVloXjcD3SMLw2pgS1jd24cHyUwQqkhvPj4NKhHpJvaZq11OJsLXybMHoLZhn9T-5h7lhi0Wb6cJDSSfHNscbUQZPzyV4xWcS7_0tmNDbTd938qidJuqAbJGORYjIFHpqfXp43-qf-LTcpS8QO6YymksiaZTZQ0ssKxbl-Fa1G3OvWR7WQ9kXkp5Fa4x6Vo3jOFXZ9ctvn11Sp19a4DCpNWongw1PIm5kK2X6NqtRgES_pyJpjMB30fx1VH2dsXCNzvEJZoV4lFnVgOssCm4cMBs6CTpKWM6vhdKT-74RmFxDRlbTRg8hL4sEjNW1IKVg0GjUXavqW9CtY7karjHuqfomPT9SbYnIZWq7rsYCkh60mgdxoAP950uTNREy&xkcb=SoDY-_M3aAkjN1wsaB0KbzkdCdPP&p=5&fvj=0&vjs=3,Indeed
USI-EH23-EA-GTLO-Talent Program Support - Analyst,Deloitte,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,"§ Employee engagement and brand initiatives, Mobility, Strategic Hiring, Digital Transformation, Diversity/Inclusion – These projects will include activities in…",,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVNkZLBY5brOMPl_aYGto6wwsSyHhfzB5EnUPEyH8HH34Wgy6CJtIGj8okHH02_qvPPvdip9aLzNbipUtOVr1HQRf9tvdwcixA72WH_fo6TebKJkaJo0vJMFISzPZ-GWAI48hRN7p02jn2qRjCeHeodJ-EVrbMrZ4qIItkSRlID5QjzS2VbZKVE-iHSk8-wNb_1VyIG3U78EdPUEneEtAH5q-KRd-PDEjAMioLRwGFDno0hKPqdSH7iGyAfrnPgzboRta7SfZZ-hDU9Q5tpJ6hzz0OfFVy_HsIjqO33dtrAwA6fD5Qp2A0vXQqJnWjsZ1wX1P4Fp8nZDdAtaQcCLqhriE-isqDK9ak32WsUslbyxuVxlCBcckpvpcRBrvBXeYbu6MCRWO8XvooGCa-YWfSH5QD0lHDnXl31Xr2h5qAhcsdYZLIFR14IhKJ491ZruF7qqRb8EnI3EG-8XNhrLVqbE7MHxrIlAcFHio1UAsK6ExysBaOIbTL-oLQBdrJSD9CiPtaUkSrJarbN8aIqg6YbvC64DWbFU2kAKLcfldUugXYjn-fSQ_HsU=&xkcb=SoBF-_M3aAkjN1wsaB0JbzkdCdPP&p=6&fvj=0&vjs=3,Indeed
Data Analyst - Power BI,Advance Auto Parts,"Hyderabad, Telangana",,PostedPosted 25 days ago,08/09/2022,"Work closely with business stakeholder, data analyst and data engineering team to perform data transformation.
 Design and develop Power BI reports.",Full-time,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5mXFGwCT9lo97i3gsfTR9iTAPBTm16RjVfbVH6M8QHIvpChn350CMiqjj8Qu_UYOTJ9q9gZltYblkZj7SqHeqztJnWiOqLoFoF-0Pe6F2ABl7bkwg2seAt709R9BcyXozkLIAcY2b5v3w_DjTX4yhU5qdbGD-Cne0yMs8Xu3_jFlUE4xb-eW64o8fS_EUDuScpnFZ7ffC57y-Q-Yr8G_Og7768PKVdnmWS5w-yhDofuTunKx6Egl_10coYX7Er-5EKK-Mj-DON-MVk7UPqkkEKKDY37U3alDVolwCchm7tXj_cAccM0SzE6ZcRTGYt-QNLvPUYrwg0asBZmHhgS4gzKXdh64sM81RR5-YiId9EABDgPO2FDn6nHx6a3iTIx5DaOf_4HX2RmyU4C3U5-QNn57ycc8aNCsdfNrEJmtBkjFi7cLOj9iPKbwZGmNEowW_FL0i-gAZCoSnW-sfWL5gJSTZiH9FRDhrW9Ys2E2HsvvMfTk87lIRnj-K5wKAPDYw1JWmBsIbYl799zeGAxC9tZLWp426pwOCOUygzbn4GFLlGMk4k1rvS9xIffqte0S063Buswj9CxlQglVFqr8tXsSGDglyFOYXLYJLtRLoOscnMFqoaHGCf4D4RGrbpoiS9WiUlEnMjMAXQKiy_t62ELowPM-ZAzaU3UBlsGA9KfpXwVwuhk5TrZ_mi4gm7j9KHJjmkFx_AJJ9Ujj6u1K0xrieVKNImHaZ3GNGMgWCvtEoiVzXXdrmv07rRoC8sb92lm8RSUubRQ==&xkcb=SoDx-_M3aAkjN1wsaB0IbzkdCdPP&p=7&fvj=0&vjs=3,Indeed
Hiring Data Analyst for Non technical role,Larsen & Toubro Infotech Limited,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,"Working with on AWS datalake daily data load operations.
 Have to be very good in communication.
 Candidate will be interacting with Sr leadership of Clients.",,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNRQtCQTrL_bM8r4fIZz-lbSkgPOCjohyAgB8KGeG0dQyR27AskclfGI8VU1DFa8EWkYqvKLcXq4L10TdTA1SPAOH0XpuOyt2xGDDlimgLkRnS6dWG2GX4LSCByG1ag0fA_P--BP9gSViQ1jgocRaOuXxl1Lb8soFaCRkhaTZK-zOao15JO1Es7dU2336I3GlgiRTzp9uU6u9rhR_tBQv-qz_8XEEsCJLXwQGXcU8kIszCkn1x3ecwK_aL_NAipdnxQjTQWioi8WFPmIg472QkP8VM1Ai19GZeVqGcnqNdzJM2OOxpDlBoa1VgyJhGEVleXWcLUvpDWSXoyOOoc7vk915DUvJcIY2Xrz4HSnip3wWie5y5uFyUe58lCk9JbqT2z5DcxT_IoElZpZMbnxnfYuz0KioDfLhbwsMo8H6685gU8uzZyXGLe-2kVT1dUEYgx9w1UZIf0nMO8zQjSjwVn9jbA0hIVO7uEBQDSEa_J3qFNRZsMJomxawxqVpvNkQSMPtsebfMFOgpM7cjOOOCSybc1Og-3Jy1XeqtDEM5m4MZ-BiM3_ettVwf7AZ1-VWNApljqoj8LlCRI6FuLOeyRWTiwJx5VS8XcjFIo0cfrmUM7oby0aYG3YOs8-pRjZZksmZpMaiE3ydUHKHjqu5GR55Da_DRB0KaW0VliSpZmvoee9HNohLdm3MIhODZLs_ZR9yusyyx2aQ-jHS_JvN3MaoFZXGZRGlah-St35bdeCzUpEZpEtGyByyx-UkBLlYSVjdSl88bxZFRzT6UsG4brFYTO0dwCTsG3tbOrRZjnFTWP581evfR5b5F8UCaw3Hkib4xShiCdZjKdQEyISK7sh3Gat4jPb9-x2ATDBsxDsi&xkcb=SoB_-_M3aAkjN1wsaB0PbzkdCdPP&p=8&fvj=0&vjs=3,Indeed
Data Analyst (Health Care Industry),StratMed,"Hyderabad, Telangana",,PostedToday,08/09/2022,"Deep analytical thinker with experience in deriving business insights from data analytics.
 Mindset to interpret and bring out the ‘so what’ from data.","₹8,00,000 a year",https://in.indeed.com/company/Stratmed/jobs/Data-Analyst-a68fd258d073d60a?fccid=fde96455f205d7a9&vjs=3,Indeed
Clinical Data Analyst,Iginitive Labz,"Hyderabad, Telangana",,Hiring ongoing,08/09/2022,"Work as per assigned Data Management related operational data flows.
 Perform the clinical medical data coding aspects of assigned projects with supervision.","₹3,50,000 a year",https://in.indeed.com/company/Iginitive-Labz/jobs/Clinical-Data-Analyst-554f0f3ea915a963?fccid=88dc574b4c1db46c&vjs=3,Indeed
Data Management - Analyst,Deloitte,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,"Consistently follows pre-defined, repeatable data management processes.
 Education Requirement: Any graduate/Post Graduate with excellent documentation and data…",,https://in.indeed.com/rc/clk?jk=e189c837ff955949&fccid=9e215d88a6b33622&vjs=3,Indeed
LTI Hiring- Data Analyst/ SQL,Larsen & Toubro Infotech Limited,"Hyderabad, Telangana",,PostedPosted 30+ days ago,08/09/2022,E Able to prioritize tasks based on client/stakeholder inputs and follow through on completion with minimal guidance f Should have interest in digging deeper…,,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNRQtCQTrL_bM8r4fIZz-lbRZCrp1EER1B1MsgUOkueAO6nmBvuqzL-e_N7SLvlYd4BWgRtb6mtC_bcUVFobCWjTRAwrm9MUQ--nuD3GEWCneTltBS9-cZ9RJVO0_Pr6xeXOIWihmbOrtTi1mX3hk0Fbnwcf7Oo4ECAZ8y3G1g3XbM1LGlElL5r1Az-yI24EP4eHn9AtbKkG2S9s-8Fe8p4bIka4ezXUH0zmilgstzkJKewo9C5uqlLnIrxmFQW89ALuloIAYt_qTxOEMTISelhl8v351VkaJY39uG0hseomeWOLCDoD2nYjLka3R_5JhK1VdabFrtDj-2pju1waVEDIIFGcH7VHtydWIMzKOu3DLYxnOFAEIiYKynsaDq7tNuicVsWELD_g1jvw2RdlFCkHI5n0bNw5sHEimnGzENS6dXpoMPmMwFwLz5HiNA38Raq9ToAlDh3XanBpi2lZLv7z7NPQsdL9EqgPmfwO9xmgz7UhFtIh8gydGQZOZy9PqNBf8T_jvkcQMUKa7Bibje0WtErCYF87qO_QSSQsZBt0GNDnSKqmcS7YnbpxKVafHNhkc_KqgjaV4JlUObw7GGmNUGij9Xj6emp_r4xtwMJtG5q_vqahRMeBTHcAVJDpJRVIAcJ0kONo2B6PTtUaYEFFn_RpZV1T7LCVcoD06MBQ9AJs9gWiE3v_YpCoxGw1L4R5pldGddRYoH-a-ghJFX1o1ElnTOQqxzsEFLgn1ybUDyCEGpzZDNrtlYcu7-8hTk1-VlOkq81ONLg77b37NrUhdsfRwYHuq71KYBAy3AuNs6AOVs0ejla2fji58Cz82-7Zm5DSF3thPEaJM8Usf8iBj2dBN3qA7kFYq82ZV9KW0&xkcb=SoB_-_M3aAkjN0QsaB0IbzkdCdPP&p=12&fvj=0&vjs=3,Indeed
Applied AI ML Analyst (Data Annotation),"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",,PostedPosted 3 days ago,08/09/2022,"Experience with data annotation, labeling, entity disambiguation and data enrichment.
 Work on data labeling tool(s) and annotate data for machine learning…",Full-time,https://in.indeed.com/rc/clk?jk=7839c8a023c628fe&fccid=aaf3b433897ea465&vjs=3,Indeed
Python Data Analyst - Freshers and Experienced,Serial Experiments Emerging Technologies LLP,"Yousufguda, Hyderabad, Telangana",,PostedPosted 5 days ago,08/09/2022,Serial Experiments is looking for Python experts with good analytical and problem solving skills to build business intelligence solutions.,"₹15,000 - ₹50,000 a month",https://in.indeed.com/company/Serial-Experiments-Emerging-Technologies-LLP/jobs/Python-Data-Analyst-45ea6add3a365ebc?fccid=b302f26770ec3354&vjs=3,Indeed
Data Management - Analyst,Deloitte,"Hyderabad, Telangana",,Posted30+ days ago,08/09/2022,"Consistently follows pre-defined, repeatable data management processes.
 Education Requirement: Any graduate/Post Graduate with excellent documentation and data…",,https://in.indeed.com/rc/clk?jk=e189c837ff955949&fccid=9e215d88a6b33622&vjs=3,Indeed
Applied AI ML Analyst (Data Annotation),"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",,Posted3 days ago,08/09/2022,"Experience with data annotation, labeling, entity disambiguation and data enrichment.
 Work on data labeling tool(s) and annotate data for machine learning…",Full-time,https://in.indeed.com/rc/clk?jk=7839c8a023c628fe&fccid=aaf3b433897ea465&vjs=3,Indeed
Python Data Analyst - Freshers and Experienced,Serial Experiments Emerging Technologies LLP,"Yousufguda, Hyderabad, Telangana",,Posted5 days ago,08/09/2022,Serial Experiments is looking for Python experts with good analytical and problem solving skills to build business intelligence solutions.,"₹15,000 - ₹50,000 a month",https://in.indeed.com/company/Serial-Experiments-Emerging-Technologies-LLP/jobs/Python-Data-Analyst-45ea6add3a365ebc?fccid=b302f26770ec3354&vjs=3,Indeed
Junior Data Analyst,Everest Fleet Pvt Ltd,"Gachibowli, Hyderabad, Telangana",,Posted3 days ago,08/09/2022,"Proven working experience in data analysis.
 Should be Advance in Excel.
 Accuracy and attention to detail.
 Verbal and Written communication skills.","₹1,70,710 - ₹2,70,355 a year",https://in.indeed.com/company/Everest-Fleet-Pvt-Ltd/jobs/Junior-Data-Analyst-8940e8058c0c6e92?fccid=4bbef71c35d1ba9c&vjs=3,Indeed
People Analytics & Reporting - Data Visualization - Analyst,Deloitte,"Hyderabad, Telangana",,Posted7 days ago,08/09/2022,"Ensure quality deliverables through proper data extraction, data cleanup, formatting, and data validation.
 Must have real time experience to develop new tableau…",,https://in.indeed.com/rc/clk?jk=54e233ec4aacdce0&fccid=9e215d88a6b33622&vjs=3,Indeed
Process Analyst - Data Annotation,Cambridge Technology Enterprises (CTE),"Hyderabad, Telangana",,Posted13 days ago,08/09/2022,"Past experience with data labeling, video and image processing and data annotation.
 Attach data to the image, video, audio, and text data following the…",Full-time,https://in.indeed.com/rc/clk?jk=3d364a6f093007cd&fccid=dfcee4bc51b9ab2f&vjs=3,Indeed
Data & Reporting - Analyst,Deloitte,"Hyderabad, Telangana",,Posted30+ days ago,08/09/2022,"They will be accountable for analyzing data, providing meaningful reports & insights and reviewing business areas for data & reporting improvements.",,https://in.indeed.com/rc/clk?jk=5c0c81e4ca7a0bb1&fccid=9e215d88a6b33622&vjs=3,Indeed
Business Analyst,Albanero Dev Private Limited,"Hyderabad, Telangana",,Hiring ongoing,08/09/2022,"Knowledge of data bases such as SQL, Oracle etc.
 Experience in working on Mobile/Digital applications as a functional business analyst.","₹4,00,000 - ₹13,00,000 a year",https://in.indeed.com/company/Albanero-Dev-Private-Limited/jobs/Business-Analyst-54eb3cd7ca32955c?fccid=4ca35fd89f8694c3&vjs=3,Indeed
Data Visualization Associate,AG FinTax,"Hyderabad, Telangana",,PostedToday,08/09/2022,"Building interactive and complex data visualizations and analysis tools (e.g., dashboards).
 Researching, designing, and testing machine-learning algorithms and…","₹20,000 - ₹70,000 a month",https://in.indeed.com/company/V-Square-S-Business-Development-Consultants/jobs/Data-Visualization-Associate-fe7b631f2f2b1dc5?fccid=0f874b8d81015c40&vjs=3,Indeed
EIM Data Analyst,Virtusa,"Hyderabad, Telangana",,Posted14 days ago,08/09/2022,Collaborate with Product Owners and stakeholders to understand the business requirementsAnalyse data from key source systems and design suitable data solutions…,Full-time,https://in.indeed.com/rc/clk?jk=c28fadc91ebafa8e&fccid=146443e77d8c0778&vjs=3,Indeed
CB_Wholesale KYC Operations_Client Data Analyst,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",,Posted3 days ago,08/09/2022,"Review of client data/processes to meet firm wide quality standards.
 Collection and verification of confidential client data via publically available and…",Full-time,https://in.indeed.com/rc/clk?jk=d466252bb6a9ffc6&fccid=aaf3b433897ea465&vjs=3,Indeed
"Associate Data Analyst - Hyderabad, TG",Optum,"Hyderabad, Telangana",,PostedToday,08/09/2022,"Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,…",Full-time,https://in.indeed.com/rc/clk?jk=088e20d645830576&fccid=3c38342724c75954&vjs=3,Indeed
Research Analyst - ESG Data Solutions-2,FactSet Research Systems,"Hyderabad, Telangana",,Posted20 days ago,08/09/2022,"Collect, analyze and process company reported data from various data sources and into the database utilized by the ESG content team.",Full-time,https://in.indeed.com/rc/clk?jk=02e08e596e751184&fccid=7ca19d158e5b580d&vjs=3,Indeed
Data analyst -automotive,Derivatives connect private limited,"Hyderabad, Telangana",,Posted19 days ago,08/09/2022,"Work experience on data structures, algorithms, and OOPs concepts.
 C and C++ Object Oriented Programming Skills.
 Should be good in mathematics.","₹80,000 - ₹85,000 a month",https://in.indeed.com/company/Derivatives-Connect-Private-Limited/jobs/Data-Analyst-7246d89127553fea?fccid=addc102b05793d54&vjs=3,Indeed
Data Analysis Intern (Remote Internship - Analyst),Brainnest,"Remote in Hyderabad, Telangana",,Posted6 days ago,08/09/2022,"Interpret the data you see, find the data you need, and clean the data to work effectively with the data.
 Work with data, including how to import data, work…",Part-time +1,https://in.indeed.com/rc/clk?jk=fafa7d2e7780b147&fccid=fc1db35d75db638f&vjs=3,Indeed
eDiscovery Data Analyst,Law In Order,Hyderabad/Secunderabad,0-3 Yrs,1 Day Ago,08/09/2022,Expectations: The eDiscovery Data Analyst is expected to be fully committed to their jo...,Not disclosed,https://www.naukri.com/job-listings-ediscovery-data-analyst-law-in-order-hyderabad-secunderabad-0-to-3-years-080822500631,Naukri
Operational Risk Data Analyst,Invesco,Hyderabad/Secunderabad,2-7 Yrs,Today,08/09/2022,Operational Risk Data AnalystDepartment:EMEA Operational RiskReports To:Operational Ris...,Not disclosed,https://www.naukri.com/job-listings-operational-risk-data-analyst-invesco-india-pvt-ltd-hyderabad-secunderabad-2-to-7-years-090822900656,Naukri
